# Created by Octave 4.0.0, Sun Dec 03 11:02:41 2017 +03 <radko@kekrometr>
# name: h
# type: matrix
# rows: 101
# columns: 2
 -5 5.134389989343403e-06
 -4.9 7.665706481436832e-06
 -4.8 1.138841179822445e-05
 -4.7 1.683290806092903e-05
 -4.6 2.475010969458682e-05
 -4.5 3.619542875884517e-05
 -4.4 5.264114010437007e-05
 -4.3 7.612510786132327e-05
 -4.2 0.0001094454124900196
 -4.1 0.0001564119860129681
 -4 0.0002221677892304533
 -3.9 0.0003135931260569773
 -3.8 0.0004398070828553183
 -3.7 0.0006127794134899544
 -3.6 0.000848063987190691
 -3.5 0.001165660629913643
 -3.4 0.001591005238527031
 -3.3 0.002156077869507517
 -3.2 0.002900604642411886
 -3.1 0.003873311509352247
 -3 0.005133166327957684
 -2.9 0.006750520833462708
 -2.8 0.008808037270339051
 -2.7 0.0114012576061383
 -2.6 0.01463864921804965
 -2.5 0.01864094331106866
 -2.4 0.02353957532129921
 -2.3 0.02947404472598445
 -2.2 0.03658803941756798
 -2.1 0.04502422071459742
 -2 0.0549176412661418
 -1.9 0.0663878693454992
 -1.8 0.07953001610388938
 -1.7 0.09440500054361207
 -1.6 0.1110295299031325
 -1.5 0.1293664071417812
 -1.4 0.1493158861752398
 -1.3 0.1707088624178983
 -1.2 0.1933026950528109
 -1.1 0.2167803956279837
 -1 0.2407537780798356
 -0.8999999999999995 0.2647709487786223
 -0.7999999999999998 0.2883282313073779
 -0.7000000000000002 0.3108862883035976
 -0.5999999999999996 0.3318898489718736
 -0.5 0.3507901090021029
 -0.3999999999999995 0.3670685754067927
 -0.2999999999999998 0.3802609164644565
 -0.1999999999999993 0.389979274773101
 -0.09999999999999964 0.3959315275978341
 0 0.3979361384240558
 0.1000000000000005 0.3959315275978341
 0.2000000000000002 0.389979274773101
 0.3000000000000007 0.3802609164644565
 0.4000000000000004 0.3670685754067927
 0.5 0.3507901090021029
 0.6000000000000005 0.3318898489718736
 0.7000000000000002 0.3108862883035976
 0.8000000000000007 0.2883282313073779
 0.9000000000000004 0.2647709487786193
 1 0.2407537780798356
 1.100000000000001 0.2167803956279837
 1.2 0.1933026950528109
 1.300000000000001 0.1707088624178983
 1.4 0.1493158861752398
 1.5 0.1293664071417812
 1.600000000000001 0.1110295299031325
 1.7 0.09440500054361207
 1.800000000000001 0.07953001610388938
 1.9 0.0663878693454992
 2 0.0549176412661418
 2.100000000000001 0.04502422071459694
 2.2 0.03658803941756798
 2.300000000000001 0.02947404472598445
 2.4 0.02353957532129921
 2.5 0.01864094331106866
 2.600000000000001 0.01463864921804965
 2.7 0.0114012576061383
 2.800000000000001 0.008808037270339051
 2.9 0.006750520833462708
 3 0.005133166327957684
 3.1 0.003873311509352247
 3.200000000000001 0.002900604642411886
 3.300000000000001 0.002156077869507496
 3.4 0.001591005238527031
 3.5 0.001165660629913643
 3.6 0.000848063987190691
 3.700000000000001 0.0006127794134899544
 3.800000000000001 0.0004398070828553183
 3.9 0.0003135931260569773
 4 0.0002221677892304533
 4.1 0.0001564119860129681
 4.200000000000001 0.0001094454124900196
 4.300000000000001 7.612510786132245e-05
 4.4 5.264114010437007e-05
 4.5 3.619542875884517e-05
 4.600000000000001 2.475010969458665e-05
 4.700000000000001 1.683290806092888e-05
 4.800000000000001 1.138841179822437e-05
 4.9 7.665706481436832e-06
 5 5.134389989343403e-06


